Item ID,Item Name,Category,Price (INR),Type,Spice Level,No. of Users Ordered,No. of Times Ordered,Most Co-Ordered With
986,Ham & Bacon Pizza,Pizza,649,Non-Veg,-,26,27,Shrimp Popcorn
387,Jagermeister Ice Cold Shot (30Ml),,0,-,-,26,26,Crispy Chilli Corn
145,Laccha Paratha Butter,"Lentils, Staples & Breads",119,Veg,-,26,26,Punjabi Mushroom Masala
649,Rose Wine Sangria,Wine C Ocktails,529,-,-,24,25,Loaded Nachos
565,Gold Flake Lights (20Pcs),Smokes,650,-,-,25,25,Chicken Popcorn
140,Sannas,"Lentils, Staples & Breads",99,Veg,-,25,25,Aamrit
338,Teacher's 50 (30Ml),Whisky,379,-,-,18,24,Chicken Popcorn
1128,Jager Beer Bomb 1+1,,0,-,-,24,24,Periperi French Fries
1127,Red Raja (1000Ml),Craft Beer,699,-,-,23,23,Chilli Egg
645,Bushmills Irish Whiskey (30 Ml),International Whiskey,399,Veg,-,21,23,Periperi French Fries
1143,Gold Flake Kings (10Pcs),,0,-,-,23,23,Malgudi Ale ( 500Ml )
1060,Sake Nigiri,Sushi,999,Non-Veg,-,22,22,Loaded Nachos
144,Laccha Paratha Plain,"Lentils, Staples & Breads",99,Veg,-,21,21,Paneer Butter Masala Served With Butter Naan
908,Royal Ranthambore (30Ml),Whisky,289,-,-,19,21,Peanut Masala
571,Classic Mild (20Pcs),,0,-,-,19,20,Spicy Chicken Skewer
740,Extra Paav,Sides & Add Ons,79,-,-,19,20,Kheema Pav
643,Jose Cuervo Silver (30 Ml),Tequila/Mezcal,429,Veg,-,20,20,Peanut Masala
360,Jim Beam (30Ml),International Whiskey,399,-,-,19,20,Crispy Chilli Corn
125,Vermicelli & Yogurt,Large Plates - South Indian,319,Veg,-,20,20,Golden Kick
988,Charcoal Grill Veg Burger,Salads & Burger,349,Veg,-,19,19,Aamrit
774,Bacardi Classic Mojito ( Pitcher ),Classic Cocktail,1499,-,-,19,19,Periperi French Fries
496,Utsav,Signature Cocktails,499,-,-,18,19,Crispy Chilli Corn
139,Steamed Rice,"Lentils, Staples & Breads",179,Veg,-,19,19,Fresh Lime Soda
873,Rowdy Stout (1000Ml),Craft Beer,699,-,-,19,19,Peanut Masala
806,Red Wine Sangria ( Pitcher ),Liquor Offer Price,1999,-,-,16,18,Peanut Masala
949,Black Dog 12Yrs (30Ml),Whisky,399,-,-,17,18,Loaded Nachos
357,Jack Daniels No 7 (30Ml),International Whiskey,499,-,-,17,17,Crispy Onion Rings
742,Bacardi Mango Chilli (30Ml),,0,-,-,15,16,Periperi French Fries
1001,Asian Style Soy Garlic Veg,Pan Asian,299,Veg,-,16,16,Burn Garlic Fried Rice -Veg
1072,Takikomi Fried Rice,Sushi,649,Veg,-,15,16,Aamrit
979,Chilly Chicken Basil Dumplings,,0,-,-,16,16,Charcoal Chicken Dumpling
502,Shalimar,Signature Cocktails,499,-,-,16,16,Soma
118,Jim Beam Black (30Ml),International Whiskey,429,-,-,15,15,Chicken Popcorn
416,Sparkling Water,Soft Beverages,339,-,-,14,15,Malgudi Ale ( 500Ml )
1126,Fire Ball Boilermaker,Shooter,361,-,-,15,15,Kamikaze
994,Sambar Rice -Chicken,Large Plates - South Indian,349,Non-Veg,-,14,14,Peanut Masala
298,Ketel One (30Ml),Vodka,399,-,-,14,14,Mangalorean Chicken Ghee Roast
334,Chivas Regal 12 Yrs (30Ml),Whisky,599,-,-,14,14,Chicken Popcorn
319,Malhar (30Ml),Gin,429,-,-,14,14,Tonic Water
539,White Wine Sangria,Wine C Ocktails,529,-,-,14,14,Aamrit
644,Jose Cuervo Reposado (30 Ml),Tequila/Mezcal,429,Veg,-,12,13,Chicken Popcorn
1077,100 Pippers 12Yrs (30Ml),Whisky,399,-,-,13,13,Tres Leches
895,Jager Beer Bomb,,0,-,-,13,13,Shrimp Popcorn
789,1800 Og Picante,Signature Cocktails,999,-,-,12,13,Chilli Egg
349,Dewars White Label (30Ml),Whisky,399,-,-,13,13,Peanut Masala
274,Sprite,Soft Beverages,75,-,-,13,13,Fried Dhai Kebab
325,Don Angel  (30Ml),Tequila/Mezcal,499,-,-,13,13,Spicy Chicken Skewer
379,Paul John Nirvana (30Ml),Single Malts,239,-,-,12,12,Crispy Chilli Corn
1062,Unagi Nigiri,Sushi,1499,Non-Veg,-,10,12,Golden Kick
1064,Sake Sashimi,Sushi,849,Non-Veg,-,11,12,Crispy Chilli Corn
367,Glenlivet 12 Yrs (30Ml),,0,-,-,11,11,Crispy Chilli Corn
384,Kahlua (30Ml),Liqueurs,349,-,-,11,11,Crispy Chilli Corn
1014,Roku Gin Sakura (30Ml),Gin,669,-,-,10,11,Loaded Nachos
951,Roulette  Vodka 30 Ml,,0,-,-,11,11,Crispy Chilli Corn
396,Fratelli Sauvignon Blanc  (Glass),White Wines,529,-,-,10,10,Shrimp Popcorn
351,Suntory Toki (30Ml),International Whiskey,699,-,-,10,10,Crispy Chilli Corn
368,Glenlivet Carriben  (30Ml),Single Malts,559,-,-,10,10,Crispy Onion Rings
560,Martini,,0,-,-,9,10,Mojito
359,Jack Daniels Honey (30Ml),International Whiskey,499,-,-,10,10,Periperi French Fries
646,Roulette  Gin 30 Ml,,0,-,-,9,10,Tonic Water
333,Johnnie Walker Double Black (30Ml),Whisky,629,-,-,10,10,Aamrit
336,Dewar's Double Aged 15 Yrs (30Ml),International Whiskey,699,-,-,10,10,Garlic Bread With Cheese
613,Pineapple Juice,,0,-,-,9,9,Peanut Masala
1081,Nirvana Whisky Sour,,0,-,-,9,9,Chilli Egg
832,Jack Apple Tonic,Classic Cocktail,699,-,-,9,9,Periperi French Fries
1083,Nirvana Gold Rush,,0,-,-,9,9,Peanut Masala
332,Johnnie Walker Black Label (30Ml),Whisky,599,-,-,9,9,Loaded Nachos
331,Johnnie Walker Blonde (30Ml),Whisky,429,-,-,8,9,Periperi French Fries
296,Grey Goose (30Ml),Vodka,629,-,-,9,9,Water Bottle 750Ml
395,Fratelli Chardonnay  (Glass),White Wines,529,-,-,8,8,Loaded Nachos
1034,Chivas Regal 18 Yrs (30Ml),,0,-,-,8,8,Crispy Chilli Corn
898,Negroni,,0,-,-,8,8,Mojito
959,Sitara Spiced Rum (30Ml),Rum,299,-,-,8,8,Can Coke
1123,Fireball (30Ml),Whisky,289,-,-,7,7,Crispy Onion Rings
358,Jack Daniels Apple (30Ml),International Whiskey,499,-,-,7,7,Peanut Masala
247,Sdu Chenin (Glass),White Wines,529,-,-,7,7,Chilli Paneer
780,Jim Beam Honey (30Ml),Whisky,429,-,-,7,7,Chilli Paneer
563,Champagne,Wine C Ocktails,529,-,-,7,7,Wit Maga Sampler (90Ml)
829,Jack Daniels Fire (30Ml),International Whiskey,543,-,-,7,7,Crispy Chilli Corn
1071,Golden Veg Curry,Sushi,699,Veg,-,7,7,Crispy Chilli Corn
743,Oaksmith Gold (30Ml),Whisky,239,-,-,7,7,Can Soda
356,Jack Daniel's Single Barrel (30Ml),International Whiskey,699,-,-,7,7,Aamrit
322,Don Julio Blanco (30Ml),Tequila/Mezcal,799,-,-,7,7,Wit Maga (500Ml)
626,Breezer Jamaican Passion,,0,-,-,6,6,Aamrit
831,Jack Honey Ginger,Classic Cocktail,699,-,-,6,6,Can Coke
834,Sula Chenin Blanc White (Glass),White Wines,549,-,-,6,6,Happy Weizen (500Ml)
564,Gold Flake Kings (20Pcs),,0,-,-,6,6,Chilli Chicken
1144,Gold Flake Lights (10Pcs),,0,-,-,6,6,Periperi French Fries
808,Rose Wine Sangria ( Pitcher ),Liquor Offer Price,1999,-,-,6,6,Wit Maga (250Ml)
1080,Carajillo 43,Shooter,499,-,-,6,6,Loaded Nachos
343,Ballantine 7 Yrs (30Ml),Whisky,449,-,-,5,5,Periperi French Fries
627,Breezer Cranberry,,0,-,-,5,5,Peanut Masala
1082,Nirvana Old Fashioned,,0,-,-,5,5,Loaded Nachos
309,Monkey 47 (30Ml),Gin,929,-,-,4,5,Peanut Masala
318,Samsara (30Ml),Gin,299,-,-,5,5,Tonic Water
830,The Classic Way,Classic Cocktail,699,-,-,5,5,Crispy Chilli Corn
1104,Gold Flake King Sleeks 20,Smokes,560,-,-,5,5,Happy Weizen (500Ml)
553,Jacob's Creek Shiraz Cabernet (Bottle),Red Wine,2949,-,-,4,4,Loaded Nachos
946,Haymans Peach & Rose (30Ml),Gin,699,-,-,4,4,Pahadi Paneer Tikka
1103,Gold Flake Social 20,,0,-,-,4,4,Chicken Popcorn
353,Gentleman Jack (30Ml),International Whiskey,599,-,-,4,4,Chilli Chicken
113,Mango Shake,,0,-,-,4,4,Aamrit
807,White Wine Sangria ( Pitcher ),Liquor Offer Price,1999,-,-,4,4,Masala Papad
354,Woodford Reserve (30Ml),International Whiskey,699,-,-,4,4,Avocado Roll
380,Paul John Brilliance (30Ml),Single Malts,449,-,-,4,4,Happy Weizen (500Ml)
337,Teacher's Golden Thistle (30Ml),Whisky,429,-,-,4,4,Tandoori Chicken Wings
570,Classic Ultra Mild (20Pcs),Smokes,650,-,-,4,4,Masala Papad
744,Jw Blue Label (30Ml),International Whiskey,1699,-,-,4,4,Can Coke
366,Aberfeldy 12 Yrs (30Ml),Single Malts,699,-,-,4,4,Buddha's Delight
491,Ramanujan (250Ml),,0,-,-,4,4,Chicken Popcorn
323,1800 Silver (30Ml),Tequila/Mezcal,724,-,-,3,3,Crispy Chilli Corn
282,Red Bull Sugar Free,,0,-,-,3,3,Periperi French Fries
958,Sitara White (30Ml),Rum,299,-,-,2,3,Rose Wine Sangria
781,Jim Beam Orange (30Ml),Whisky,429,-,-,3,3,Chilli Chicken
312,Bombay Sapphire (30Ml),Gin,429,-,-,3,3,Diet Coke
554,Fratelli Cabernet Franc Shiraz (Bottle),Red Wine,1999,-,-,3,3,Crispy Chilli Corn
350,Hibiki (30Ml),International Whiskey,1099,-,-,3,3,Golden Kick
555,Fratelli Merlot (Bottle),Red Wine,1999,-,-,3,3,Peanut Masala
1061,Kampachi Nigiri,Sushi,929,Non-Veg,-,3,3,Chicken Dum Biriyani
95,Thai Peanut Salad,,0,-,-,3,3,Angaar Murgh Tikka
1105,Gold Flake Light Sleeks 20,Smokes,560,-,-,3,3,Kamikaze
324,Patron Silver (30Ml),,0,-,-,3,3,Vanilla Ice Cream
371,Godawan Rich And Round (30Ml),Single Malts,559,-,-,3,3,Paprika Grilled Chicken Salad
684,Nandi Nectar (250Ml)  1+1,,0,-,-,3,3,Loaded Nachos
355,Makers Mark (30Ml),International Whiskey,599,-,-,3,3,Chilli Chicken
682,El Chamraj (250Ml)  1+1,,0,-,-,3,3,French Fries Salted
681,Happy Weizen (250Ml)  1+1,,0,-,-,3,3,Chilly Garlic Noodles Veg
680,Wit Maga (250Ml)  1+1,,0,-,-,3,3,Happy Weizen (500Ml)
1063,Kampachi Sashimi,Sushi,949,Non-Veg,-,3,3,California Roll
374,Laphroaig Islay 10Yrs (30Ml),Single Malts,645,-,-,3,3,French Fries Salted
411,Fratelli Noi Sparkling  (Glass),,0,-,-,3,3,Utsav
711,Tequila 1800 Coconut (30Ml),Tequila/Mezcal,709,-,-,3,3,Crispy Chilli Corn
948,The Singleton 18 Yrs (30Ml),International Whiskey,1149,-,-,2,2,Ale Is Well (1000Ml)
912,Kashmyr Saffron Vodka (30Ml),Vodka,479,-,-,2,2,Peanut Masala
709,Templeton Rye Whiskey 4 Yrs (30Ml),International Whiskey,569,-,-,2,2,Red Raja (500Ml)
782,Diplomatico Planas Rum (30Ml),Rum,559,-,-,2,2,Avocado Roll
688,Rowdy Stout (250Ml)  1+1,,0,-,-,2,2,Happy Weizen (500Ml)
899,Bushmills 12Yrs (30Ml),International Whiskey,755,-,-,2,2,Periperi French Fries
955,Samsara Pink (30Ml),Gin,369,-,-,2,2,Happy Weizen (1000Ml)
614,Godawan Fruit And Spicy (30Ml),Single Malts,559,-,-,2,2,Masala Mule
535,Choco-Mint Shake,,0,-,-,2,2,Butter Garlic Prawns
335,Dewar's Double Aged 12Yrs (30Ml),Whisky,629,-,-,2,2,Jaisalmer (30Ml)
1073,Stoli Vodka (30Ml),Vodka,429,-,-,2,2,Melon Mingle
402,Casillero Del Diablo  Cabernet Sauvignon ( Bottle ),Red Wine,5549,-,-,2,2,Aamrit
363,The Singleton 12 Yrs (30Ml),,0,-,-,2,2,Vegetable Spring Roll
310,Tanqueray No. Ten  (30Ml),,0,-,-,2,2,Pahadi Paneer Tikka
42,Asian-Style Pork Spare Ribs,,0,-,-,2,2,Golden Kick
341,Scottish Leader (30Ml),Whisky,349,-,-,2,2,Sticky Date Pudding With Vanilla Ice Cream
1074,Dalmore 12Yrs (30Ml),International Whiskey,919,-,-,2,2,Chicken Popcorn
352,The Yamazaki (30Ml),Single Malts,1499,-,-,2,2,Kheema Pav
547,Jacob's Creek Chardonnay (Bottle),White Wines,2949,-,-,2,2,Tanuki Roll
548,Fratelli Chardonnay  (Bottle),White Wines,1999,-,-,2,2,Avocado Roll
712,Chivas Regal 15 Yrs (30Ml),Whisky,779,-,-,2,2,Roku Gin Sakura (30Ml)
907,Rampur Indian Whisky (30Ml),Single Malts,779,-,-,1,1,Crispy Onion Rings
884,Magic Moment Verve (30Ml),Vodka,299,-,-,1,1,Utsav
761,Totapuri Fish Curry,,0,-,-,1,1,Strawberry Iced Tea
369,Bowmore 12 Yrs (30Ml),Single Malts,699,-,-,1,1,Icb Paneer Tikka
1119,Creyente Mezcal (30Ml),Tequila/Mezcal,749,-,-,1,1,Chilli Pork
1111,Loca Loka Blanco (30Ml),Tequila/Mezcal,759,-,-,1,1,Can Soda
647,Wild Turkey 30 Ml,,0,-,-,1,1,Sago Vada
1125,Highland Park 15Yrs (30Ml),Single Malts,1099,-,-,1,1,Vegetable Spring Roll
316,Gig (30Ml),Gin,299,-,-,1,1,Masala Papad
378,Paul John Bold (30Ml),,0,-,-,1,1,Lamb Keema Urundai
833,Sula Merlot Red (Glass),Red Wine,549,-,-,1,1,Rowdy Stout Sampler(90Ml)
410,Freixenet Cordon Negro Brut- Cava  (Glass),Sparkling Wine/Champagne,829,-,-,1,1,Mojito
701,Martell Vsop,Cognac/Brandy,1499,-,-,1,1,Weissbier Tiramisu
302,Captain Morgon (30Ml),Rum,299,-,-,1,1,Liit
304,Bacardi Carta Oro (30Ml),Rum,229,-,-,1,1,Pork Yakitori
339,Teacher's Origin (30Ml),Whisky,359,-,-,1,1,Kanak
549,Fratelli Sauvignon Blanc (Bottle),White Wines,1999,-,-,1,1,Mixed Mushroom & Creamcheese Dumpling
835,Sula Brut Sparkling (Bottle),Sparkling Wine/Champagne,2299,-,-,1,1,Chicken Gyoza
305,Bacardi Black (30Ml),Rum,249,-,-,1,1,Andhra Chilly Chicken
313,Gordon's  (30Ml),Gin,299,-,-,1,1,Seasonal Vegetable Pizza
1121,Macallan 12Yrs (30Ml),Single Malts,929,-,-,1,1,Crab Omlette
1003,Rendang Chicken Curry,Pan Asian,399,Non-Veg,-,1,1,Blue Frog ( High Abv)
836,Sula Chenin Blanc White (Bottle),White Wines,2199,-,-,1,1,Paneer Momo
1093,Pani Puri (7 Pieces),,0,-,-,1,1,Fresh Lime Soda
321,Don Julio Raposado (30Ml),Tequila/Mezcal,999,-,-,1,1,El Chamraj (Pitcher)
1041,Watermelon Cucumber Highball,Classic Cocktail,723,-,-,1,1,Kozhi Chettinad Served With Malabar Paratha
1108,Rangeela (30Ml),Vodka,299,-,-,1,1,Chicken Popcorn
1109,Zoya Gin (30Ml),Gin,299,-,-,1,1,Butter Garlic Prawns
344,William Lawsons (30Ml),Whisky,299,-,-,1,1,Black Dog Black  (30Ml)
902,Onegin Vodka (30Ml),Vodka,739,-,-,1,1,Margarita
317,Greater Than (30Ml),Gin,249,-,-,1,1,Cheese Poppers
1036,Spiked Iced Tea,Classic Cocktail,723,-,-,1,1,Diet Coke
376,Amrut Fusion (30Ml),Single Malts,399,-,-,1,1,Pepper Mutton
546,Two Ocean Chardonnay (Bottle),White Wines,3949,-,-,1,1,Smoked Beetroot Kebab
1079,Lucifers Gold (30Ml),Whisky,389,-,-,1,1,Can Soda
436,Lasooni Jhinga Served With Laccha Paratha,,0,-,-,1,1,Paneer Butter Masala Served With Butter Naan
911,Kashmyr Natural Vodka (30Ml),Vodka,459,-,-,1,1,Happy Weizen (250Ml)
1122,Macallan 15Yrs (30Ml),Single Malts,1459,-,-,1,1,Red Bull Energy Drink
409,Zonin Prosecco Sparkling (Bottle),Sparkling Wine/Champagne,5949,-,-,1,1,Crispy Onion Rings
760,Cashew Prwan Curry,,0,-,-,1,1,Chilli Paneer
494,Ramanujan Sampler (90Ml),,0,-,-,1,1,El Chamraj Sampler (90Ml)
658,Chikoo Shake,,0,-,-,1,1,Aamrit
362,Jameson Stout Edition (30Ml),International Whiskey,449,-,-,1,1,Clover's Club
522,B-52,,0,-,-,1,1,Oaksmith Gold (30Ml)
796,Malgudi Ale ( 250Ml )  1+1,,0,-,-,1,1,French Fries Salted
795,Huli Gun Ale ( 250Ml )  1+1,,0,-,-,1,1,Jeera Cashew Pulao
1076,Glenlivet 15Yrs (30Ml),Single Malts,979,-,-,1,1,Can Coke
314,Hapusa  (30Ml),Gin,499,-,-,1,1,Cheese Poppers
651,Royal Brackla 30 Ml,International Whiskey,999,-,-,1,1,Shrimp Popcorn
415,Soda,,0,-,-,1,1,Chicken Popcorn
307,Amrut Two Indies  (30Ml),Rum,329,-,-,1,1,Chilly Garlic Fried Rice Veg
746,Aamchi Shots,,0,-,-,1,1,Corn Seekh Kebab
758,Ghee Rice Chicken Curry,,0,-,-,1,1,Chilly Garlic Fried Rice Veg
1145,Jd Fire Boilermake,Shooter,633.5,-,-,1,1,Carajillo 43
652,Sipsmith Dry Gin 30 Ml,Gin,649,-,-,1,1,Brownie With Vanilla Ice Cream
295,Beluga (30Ml),Vodka,899,-,-,1,1,Zero Mojito
745,Jw Gold Label (30Ml),International Whiskey,659,-,-,1,1,Paneer Tikka Pizza
828,Old Monk Supreme (30Ml),Rum,279,-,-,1,1,Lemon & Salt
329,Desmondji (30Ml),Tequila/Mezcal,399,-,-,1,1,Malgudi Ale ( Pitcher )
1130,Stoli Caramel Vodka (30Ml),Vodka,509,-,-,1,1,Johnnie Walker Red Label (30Ml)
31,Asparagus & Mushroom Aglio Olio,,0,-,-,1,1,Avocado Roll
370,The Ardmore  (30Ml),Single Malts,599,-,-,1,1,Bbq Chicken Wings
